1000;HAT;Air Horizont LTD;177 Skyway Offices A1,  Marina Street, Pieta, PTA 9042 – Malta;00000;+08007659898;+08007659898
1001;YW;AIR NOSTRUM;Avda. Comarques del País Valencià, 2. 46930 Quart de Poblet, Valencia (ESPAÑA - SPAIN);Quart de Poblet;961960200   ;900111500
1002;NT;BINTER CANARIAS;C/ IGNACIO ELLACURIA BEASCOECHEA, S/N - PARQUE EMP;Telde;928327746;900533256
75;IB;IBERIA;Calle Martínez Villergas, 49 28027 Madrid;Madrid;918790033;900111500 
1003;FR;RYANAIR;Ryanair DAC Dublin Office Airside Business Park Swords;Swords; 902585230;35312555212
1004;V7;VOLOTEA;CALLE TRAVESSERA DE GRACIA, 56 - PISO 4 - 08006 BARCELONA (Barcelona);Barcelona;931171777;900670730
1005;VY;VUELING AIRLINES;Calle Catalunya, 83, Edif. Brasil. 08840, Viladecans (Barcelona). España.;El Prat de Llobregat;933787878;900645000
